date posted (GMT),title,address,distance (km),price,post_url
"September 6, 2017 12:53 AM","4 or 12 month rent - Furnished, All Utilities included","121 University Ave E, Waterloo, ON N2J 4J1, Canada",2.269,$580.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/4-or-12-month-rent-furnished-all-utilities-included/1295382167"">link</a>"
"August 29, 2017 5:01 PM",Looking for specious room to rent,"Waterloo, ON N2J4J1",2.24,$450.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/looking-for-specious-room-to-rent/1293392668"">link</a>"
"September 5, 2017 4:37 PM",Rooms in a Great House - All Inclusive & close to Universities !,"122 Columbia St W, Waterloo, ON N2L 3W6, Canada",0.989,Please Contact,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/rooms-in-a-great-house-all-inclusive-close-to-universities/1295241788"">link</a>"
"August 10, 2017 3:10 PM",One Month Free! Room Rentals Fall 2017,"251 Lester St, Waterloo, ON N2L 3W6, Canada",0.647,$675.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/one-month-free-room-rentals-fall-2017/1288394843"">link</a>"
"August 29, 2017 5:53 AM",Luxe 1 - King Towers,"333 King St N, Waterloo, ON N2J 2Z1, Canada",1.634,$635.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/luxe-1-king-towers/1293257107"">link</a>"
"August 11, 2017 1:42 AM",Newly renovated Main floor bedrooms for rent close to UW,"Waterloo, ON N2L5H3",1.015,$550.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/newly-renovated-main-floor-bedrooms-for-rent-close-to-uw/1288559472"">link</a>"
"August 31, 2017 1:43 PM",Female Only House Waterloo All Incl. wt Onsite Laundry,"Kitchener, ON N2L4W3",2.565,$490.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/female-only-house-waterloo-all-incl-wt-onsite-laundry/1293867056"">link</a>"
"August 23, 2017 11:05 PM",Two bedrooms in basement near UW/WLU,"351 Anatolin Pl, Waterloo, ON N2L 5G9, Canada",1.389,$600.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/two-bedrooms-in-basement-near-uw-wlu/1291912687"">link</a>"
"August 19, 2017 1:06 PM","ROOM FOR SEPT, FOR STUDENTS OR WORKING PPL,ALL INCLUSIVE","41 Helene Crescent, Waterloo, ON N2L 5E6, Canada",1.431,$500.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/room-for-sept-for-students-or-working-ppl-all-inclusive/1290725001"">link</a>"
"September 9, 2017 5:40 AM",single room sublet near University of Waterloo,"Waterloo, ON N2L3E7",0.477,$550.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/single-room-sublet-near-university-of-waterloo/1296203960"">link</a>"
"August 10, 2017 3:44 PM","Student Rental Shared Space 2 Private Bedrooms, All Inclusive","545 Park St, Kitchener, ON N2G 1N8, Canada",2.508,$450.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/student-rental-shared-space-2-private-bedrooms-all-inclusive/1288404976"">link</a>"
"August 14, 2017 9:29 PM",16 COLUMBIA SEPTEMBER STUDENT RENTAL,"16 Columbia St W, Waterloo, ON N2L 3K3, Canada",1.683,$535.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/16-columbia-september-student-rental/1289522279"">link</a>"
"September 4, 2017 6:40 PM",SEPT FREE!! Student Ensuite Bathtub! Unlimited WiFi & Utilities!,"75 Columbia St W, Waterloo, ON N2L 3K7, Canada",1.28,$599.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/sept-free-student-ensuite-bathtub-unlimited-wifi-utilities/1294978938"">link</a>"
"September 4, 2017 7:33 PM",nice clean room in a three bedrooms apartment for rent,"230 Cedarbrae Ave, Waterloo, ON N2L 4S7, Canada",2.098,$415.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/nice-clean-room-in-a-three-bedrooms-apartment-for-rent/1295002543"">link</a>"
"August 13, 2017 2:05 AM",Walking distance to UW!! Cozy and nice rooms $400.00 ONLY!!,"197 Corrie Crescent, Waterloo, ON N2L 5W3, Canada",1.768,$400.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/walking-distance-to-uw-cozy-and-nice-rooms-400-00-only/1289072894"">link</a>"
